CPU Cycles;CPU instructions,
12,416,470,106;17,999,516,103
12,323,504,322;17,969,082,817
12,370,302,576;17,986,711,243
12,316,167,240;18,002,413,948
12,400,126,520;18,018,505,073
12,402,960,783;18,047,521,999
12,406,443,981;18,010,010,098
12,366,540,351;18,029,765,467
12,393,700,976;17,995,736,682
12,316,569,191;17,997,678,055
12,298,943,457;18,006,788,976
12,387,902,635;18,010,550,961
12,384,292,694;18,005,887,880
12,367,012,072;17,986,334,499
12,401,753,004;18,003,592,618
12,349,894,735;18,041,403,541
12,400,913,609;18,024,307,042
12,358,515,666;18,023,758,926
12,407,978,203;18,056,351,475
12,423,037,914;18,003,063,201
12,332,974,404;17,984,535,608
12,306,728,198;17,987,326,041
12,386,387,215;17,994,453,789
12,352,823,505;18,050,719,631
12,361,630,143;18,035,798,228
12,607,166,616;17,980,668,366
12,386,700,852;18,009,742,365
12,407,694,729;17,986,225,553
12,338,388,361;17,984,976,639
12,331,094,825;17,990,555,421
12,408,441,453;18,002,933,349
12,392,339,614;17,995,148,870
12,383,403,300;17,997,777,346
12,409,152,459;17,977,770,626
12,291,198,251;17,986,855,899
12,364,210,140;17,989,713,540
12,713,352,935;18,603,661,985
12,336,854,982;18,010,478,932
12,416,404,999;18,034,547,004
12,372,101,372;17,995,924,074
12,393,797,179;18,013,625,346
12,390,458,647;17,987,848,685
12,379,481,840;18,001,123,390
12,398,200,669;18,051,829,908
12,368,633,460;18,003,313,700
12,328,863,651;17,991,959,276
12,343,219,931;18,003,873,024
12,360,731,120;17,995,014,884
12,406,001,011;18,016,596,742
12,352,103,128;18,030,562,584
12,414,970,131;17,991,929,462
12,355,934,701;17,999,550,671
12,409,910,202;18,006,438,702
12,406,618,171;17,978,614,205
12,335,220,257;17,993,735,521
12,375,296,786;18,069,550,831
12,402,418,013;18,044,629,220
12,338,512,121;17,999,370,252
12,353,283,814;18,007,324,427
12,429,222,981;18,031,860,407
12,730,446,912;18,618,086,355
12,363,731,034;18,020,713,180
12,425,446,963;18,058,533,574
12,418,244,659;18,027,249,465
12,331,686,096;17,997,055,176
12,343,455,304;18,021,151,060
12,403,171,753;17,993,362,892
12,385,252,347;17,985,784,137
12,417,288,880;18,048,490,919
12,394,479,002;18,001,339,376
12,343,719,276;18,056,287,739
12,322,141,912;18,030,633,372
12,390,110,273;18,008,221,775
12,393,895,574;18,009,012,418
12,463,407,350;18,045,567,553
12,425,983,264;18,023,518,459
12,442,788,498;17,989,927,749
12,446,722,220;18,011,056,778
12,456,002,367;18,022,401,516
12,406,909,120;18,006,497,375
12,418,245,226;18,042,545,394
12,410,362,750;18,011,024,002
12,456,107,039;17,990,473,225
12,339,284,505;18,018,768,061
12,292,961,358;18,033,981,814
12,367,454,670;17,989,822,030
12,325,910,598;18,015,998,625
12,384,595,308;18,005,722,774
12,312,793,450;18,003,544,518
12,454,546,710;18,013,088,926
12,394,741,787;18,002,417,971
12,348,785,335;18,013,975,091
12,419,717,698;17,995,980,901
12,363,107,802;18,019,706,970
12,410,894,691;18,068,200,747
12,308,707,250;17,997,391,456
12,382,130,848;17,996,408,372
12,436,346,818;17,995,118,585
12,352,921,888;18,000,237,330
12,382,732,938;18,038,462,269
