CPU Cycles;CPU instructions,
20,834,388,416;22,036,728,821
20,719,325,967;22,003,698,004
20,776,619,489;22,017,581,087
20,745,228,163;22,096,307,338
20,811,994,863;22,009,160,154
20,800,989,835;22,039,600,840
20,713,710,409;22,006,156,785
20,932,725,569;22,097,338,441
20,705,640,665;22,080,050,052
20,704,633,826;22,104,421,670
20,721,933,279;22,016,710,267
20,778,391,209;22,013,643,864
20,618,127,668;22,030,823,693
20,757,959,629;22,049,365,617
20,782,983,757;22,028,331,947
20,740,361,594;22,090,634,210
20,969,132,561;22,491,602,888
20,748,623,984;22,022,937,460
20,740,109,079;21,978,103,404
20,717,741,073;22,043,674,611
20,689,572,344;22,023,028,507
20,685,821,343;22,054,049,942
20,677,269,108;22,011,000,606
20,622,049,578;22,063,047,087
20,716,854,884;22,063,770,351
20,672,391,908;22,037,354,048
20,833,613,801;22,014,803,425
20,746,416,887;22,004,104,222
20,688,618,377;22,027,501,210
20,829,012,220;22,038,226,838
20,573,093,152;22,040,850,663
20,682,211,012;22,033,464,051
20,714,546,056;22,089,814,855
20,771,524,953;22,035,517,476
20,687,654,638;21,978,265,411
20,679,036,489;22,038,039,762
20,654,884,923;22,039,922,361
20,950,592,092;22,073,844,953
20,761,553,697;21,990,004,355
20,784,278,256;22,067,671,312
20,839,945,296;22,087,593,135
20,748,977,982;22,075,915,201
20,661,950,366;22,015,580,716
20,822,739,147;22,064,073,838
20,854,182,929;22,051,467,981
20,764,365,055;22,044,428,417
20,714,321,120;22,032,182,651
20,722,180,310;22,026,226,125
20,645,467,622;21,986,748,710
20,754,333,084;22,031,898,308
20,753,185,915;22,032,835,922
20,727,008,706;22,043,331,757
20,788,444,677;22,027,642,924
20,678,117,983;22,004,111,685
20,712,429,521;22,069,334,297
20,732,946,889;22,042,366,937
20,709,084,947;22,060,680,524
20,613,293,892;22,083,534,720
20,652,876,392;22,008,638,875
20,726,903,143;21,992,976,056
20,679,156,988;22,057,318,509
20,683,728,575;22,026,843,368
20,813,231,570;21,973,689,449
20,694,582,908;21,979,176,636
20,641,804,261;22,016,473,435
20,663,802,643;21,996,151,541
20,773,397,453;22,023,563,407
20,626,219,475;22,037,203,890
20,701,682,665;22,045,493,892
20,719,810,821;22,070,588,395
20,643,253,587;22,099,754,430
20,722,575,233;22,041,164,715
20,798,822,084;22,030,553,235
20,751,537,677;22,089,067,643
20,714,645,708;22,061,293,524
20,732,390,826;22,057,195,090
20,729,374,432;22,010,652,338
20,759,921,852;22,028,928,366
20,666,963,977;22,081,491,953
20,634,997,529;22,012,928,618
20,670,735,587;22,037,326,457
21,115,234,260;22,521,502,351
20,752,665,693;22,045,962,074
21,180,745,388;22,469,694,118
20,850,732,055;22,050,445,773
20,752,893,221;22,060,341,603
20,654,084,772;22,031,234,524
20,731,255,082;22,028,555,070
20,753,908,885;22,059,402,403
20,798,522,436;22,048,863,438
20,885,372,920;22,001,003,039
20,631,278,833;21,987,666,956
20,658,366,952;22,036,819,276
21,042,268,420;22,556,611,890
20,681,463,974;22,016,293,456
20,813,581,540;22,072,602,139
20,809,908,306;22,025,050,044
20,563,073,124;21,994,407,805
20,680,271,007;22,058,943,197
20,740,008,426;22,042,316,072
