CPU Cycles;CPU instructions,
70,091,517,695;70,911,703,127
70,227,068,786;70,927,481,772
70,175,184,347;70,933,437,925
70,278,689,668;70,938,229,988
70,244,334,033;70,904,908,207
70,398,666,300;70,871,442,378
72,652,513,953;70,932,286,373
75,820,454,756;71,032,420,675
70,258,962,285;70,930,024,652
70,227,617,089;70,901,877,753
70,143,505,952;70,928,386,788
70,190,691,371;70,932,170,842
70,182,941,021;70,910,779,255
70,126,607,084;70,964,899,802
70,146,004,293;70,926,982,593
70,495,199,936;70,951,995,424
70,140,059,229;70,880,943,946
70,134,225,935;70,907,213,199
70,170,309,799;70,894,694,641
70,038,310,255;70,918,772,890
70,171,963,393;70,910,618,608
70,254,891,998;70,930,625,423
70,085,129,233;70,922,701,802
70,518,356,803;70,884,438,009
70,140,098,456;70,886,667,642
70,271,918,381;70,948,099,335
70,330,443,618;70,926,395,892
70,189,636,332;70,932,042,175
70,138,530,707;70,915,734,195
70,060,259,209;70,896,238,202
70,164,956,327;70,876,732,997
70,145,102,835;70,928,610,904
70,201,544,995;70,907,930,056
70,331,542,764;70,894,210,768
70,289,654,998;70,878,335,144
70,219,264,503;70,928,921,336
70,201,909,513;70,891,567,048
70,250,147,252;70,873,609,222
70,096,362,626;70,906,476,246
70,309,763,863;70,928,021,089
70,320,438,956;70,944,336,194
70,023,995,771;70,902,139,250
70,250,309,007;70,941,049,820
70,144,379,445;70,947,007,002
69,944,084,464;70,896,082,043
70,157,449,106;70,906,816,762
70,283,935,037;70,943,293,935
70,121,188,720;70,894,450,349
70,143,349,997;70,910,620,306
70,151,434,651;70,900,031,225
70,220,051,059;70,892,880,272
70,056,926,710;70,898,731,207
69,998,812,343;70,940,676,555
70,408,794,251;70,880,315,075
70,281,848,310;70,962,810,330
70,187,368,973;70,952,563,192
70,305,205,352;70,913,778,082
70,090,916,633;70,898,286,480
70,372,897,130;70,920,438,922
70,317,581,093;70,906,841,789
70,186,679,626;70,927,484,104
70,003,597,539;70,882,495,351
70,310,710,012;70,951,796,765
70,178,216,704;70,918,962,933
70,001,002,630;70,907,124,607
70,186,478,523;70,914,753,496
69,994,287,196;70,900,473,764
70,172,773,826;70,952,135,012
70,317,943,790;70,898,015,738
70,224,651,202;70,873,807,536
70,138,318,286;70,903,582,243
70,289,747,781;70,866,588,463
70,091,383,700;70,894,321,595
70,409,787,201;70,889,671,816
70,038,199,953;70,914,040,296
70,210,470,417;70,888,242,840
70,388,492,954;70,913,001,310
70,087,697,262;70,927,731,185
70,577,151,687;70,900,153,727
70,118,746,444;70,918,371,712
70,110,860,450;70,936,811,926
70,048,793,937;70,873,136,956
70,240,175,106;70,893,784,386
70,063,929,169;70,882,367,759
70,531,107,166;70,915,552,104
70,270,638,190;70,897,411,270
70,247,283,309;70,912,720,860
70,294,527,161;70,902,389,274
70,218,244,844;70,920,927,206
70,170,052,905;70,913,620,224
70,146,957,437;70,920,847,976
70,373,862,615;70,859,927,751
70,046,446,321;70,919,829,885
70,030,964,520;70,926,696,492
70,095,776,734;70,905,561,843
70,371,114,444;70,919,491,569
70,181,236,733;70,921,258,512
70,131,741,206;70,918,801,194
70,221,244,731;70,863,684,617
70,128,497,167;70,922,373,119
