Public Key gen UE(us),Shared Key gen UE(us),Total
332.9259999,1265.074,1598
273.204,651.4630001,924.667
277.815,589.7779999,867.593
218.389,582.8699999,801.2589999
214.426,575.26,789.686
215,575.8889999,790.889
210.4820001,613,823.4820001
213.852,576.8330001,790.6850001
219.167,573.037,792.2039999
211.444,569.593,781.037
208.519,571.037,779.556
210.4820001,740.3339999,950.816
241.9450001,585.37,827.315
215.444,571.667,787.111
211.759,570.111,781.87
149.481,411.167,560.648
133.519,360.408,493.927
133.204,340.963,474.167
125.1479999,336.537,461.6849999
123.8890001,336.2590001,460.1480001
123.426,334.093,457.519
122.6850001,334.0740001,456.7590001
122.7219999,334.2590001,456.981
145.0000001,336.315,481.3150001
122.703,334.76,457.463
122.444,351.777,474.221
123.796,335.2030001,458.9990001
123.962,354.9449999,478.9069999
172,368.797,540.797
142.537,363.1850001,505.7220001
191.0369999,393.037,584.0739999
202.037,386.315,588.352
191.944,539,730.944
216.7409999,384.056,600.7969999
158.093,355.9999999,514.0929999
155.556,378.611,534.167
202.5,485.185,687.685
196.277,372.611,568.888
181.6109999,415.944,597.5549999
221.0920001,388.833,609.925
226.574,378.1299999,604.7039999
219.481,404.537,624.0180001
207.019,379.1299999,586.1489999
195.5,351.0929999,546.593
137.1659999,326.908,464.074
125.6849999,364.019,489.704
150.149,328.9819999,479.1309999
132.8339999,322.945,455.7789999
126.797,326.277,453.074
189.685,329.352,519.037
126.982,326.018,453
122.185,320.5920001,442.7770001
125.8890001,323.63,449.5190001
119.574,319.389,438.963
230.019,349,579.019
181.518,365,546.518
176.704,361.888,538.592
170.852,355.185,526.037
160.5,401.685,562.185
161.815,340.426,502.2409999
128.722,323.722,452.444
129.371,376.203,505.5739999
130.13,328.519,458.6490001
126.519,324.2399999,450.7589999
162.148,360.241,522.3889999
178.297,368.7960001,547.0930001
202.3340001,383.889,586.223
227.7039999,459.13,686.8339999
245.0369999,458.426,703.4629999
253.37,414.093,667.463
251.445,409.667,661.112
251.241,405.481,656.722
245.5920001,413.9810001,659.5730001
250.9259999,409.148,660.0739999
273.7030001,422.4449999,696.148
173.055,361.76,534.815
171.9080001,363.611,535.5190001
162.482,347.8150001,510.297
154.4630001,345.814,500.277
179.185,461.926,641.1109999
930.185,848.9630001,1779.148
752.111,857.185,1609.296
864.6479999,460.241,1324.889
231.1110001,397.4260001,628.5370001
194.4249999,370.7779999,565.2029998
224.778,359.2779999,584.0559999
136.204,322.7589999,458.9629999
122.8340001,320.259,443.0930001
120.3329999,552.667,672.9999999
420.277,479.166,899.443
281.166,413.611,694.777
261.333,410.851,672.184
168.87,344.648,513.518
142.2409999,337.2040001,479.445
135.482,414.2219999,549.7039999
178.852,354.9629999,533.8149999
137.6849999,335.37,473.0549999
134.463,332.852,467.315
131.389,334.7410001,466.1300001
198.1849999,360.982,559.1669999
136.1110001,328.9260001,465.0370001
127.0739999,324.0560001,451.13
138.685,414.0000001,552.6850001
142.63,331.204,473.834
158.8150001,347.667,506.4820001
169.8149999,381.889,551.7039999
164.685,342.519,507.204
132.833,326.074,458.9069999
135.2960001,327.3889999,462.685
149.0740001,358.148,507.2220001
227.926,378.371,606.297
189.815,421.6670001,611.4820001
196.8700001,384.907,581.7770001
213.888,397.0930001,610.981
254.5,407.463,661.963
252.908,413.1669999,666.0749999
281.8520001,418.704,700.5560001
251.2029999,411.2410001,662.444
248.723,457.222,705.945
248.963,414.63,663.593
227.056,388.5,615.556
197.167,869.2409999,1066.408
831.333,879.5560001,1710.889
832.629,765.333,1597.962
241.3340001,383.5,624.8340001
171.037,338.4439999,509.4809999
126.815,321.222,448.0370001
121.888,319.889,441.777
117.778,317.351,435.129
119.4260001,317.5000001,436.9260001
117.445,318.111,435.556
118.6110001,347.87,466.4810001
131.722,320.482,452.204
119.3879999,326.482,445.8699999
178.4069999,363.463,541.8699999
182.9629999,484.1479999,667.1109999
296.167,432.371,728.538
234.944,366,600.944
143.2590001,375.315,518.5740001
197.852,335.426,533.278
128.2219999,323.3890001,451.611
124.63,324.352,448.982
120.185,321.5190001,441.7040001
121.334,318.963,440.2970001
118.166,318.963,437.129
117.148,317.722,434.8699999
116.574,321.5749999,438.1489999
198.111,334.741,532.852
126.648,319.704,446.352
120,318.148,438.1480001
119.759,326.815,446.574
123.8340001,321.556,445.3900001
118.334,316.093,434.4270001
116.6659999,314.9629999,431.6289999
117.519,313.575,431.094
117.482,337.185,454.667
128.092,327.815,455.9069999
121.796,316.333,438.129
115.797,315.944,431.7410001
116.241,315.9439999,432.1849999
115.926,334.167,450.093
123.5369999,338.2589999,461.7959999
149,332.3889999,481.3889999
120.537,320.518,441.055
117.463,348.167,465.63
130.9630001,323.352,454.3150001
122.8340001,318.759,441.5930001
119.333,318.963,438.2960001
117.574,315.278,432.852
118.592,317.3700001,435.9620001
116.8519999,315.5740001,432.426
143.5189999,316.203,459.722
117.778,315.8520001,433.6300001
141.4809999,327.0560001,468.537
125.6109999,317.333,442.9439999
116.6110001,316.093,432.7040001
115.76,316.278,432.038
116.6290001,316.907,433.5360001
116.8880001,315.982,432.8700001
115.574,314.759,430.3330001
114.4629999,315.76,430.223
116.037,339.241,455.278
189.1669999,323.7770001,512.944
123.333,318.5190001,441.8520001
117.2410001,317.907,435.1480001
116.111,316.019,432.13
116.2029999,315.871,432.0739999
116.426,316.444,432.8699999
116.722,315.5000001,432.2220001
115.074,316.278,431.352
115.148,338.26,453.408
124.796,321.074,445.87
118.722,318.13,436.852
116.112,314.297,430.409
115.5369999,316.481,432.018
115.908,313.4809999,429.3889999
114.833,314.519,429.352
116.648,316.2960001,432.9440001
115.833,315.445,431.278
115.4629999,332.759,448.2219999
119.3520001,317.796,437.1480001
116.2589999,314.9810001,431.24
115.9630001,316.408,432.3710001
124.222,322.037,446.259
118.63,318.352,436.982
117.037,315.796,432.833
115.9069999,316.537,432.4439999
115.185,321.963,437.1480001
116.9630001,344.612,461.5750001
131.704,322.13,453.8339999
118.2779999,315.926,434.2039999
115.944,314.8340001,430.778
115.1290001,315.2960001,430.4250001
116.9440001,314.1669999,431.111
166.037,357.388,523.425
132.204,322.685,454.889
123.797,341.13,464.9270001
127.278,322.333,449.611
118.334,317.2409999,435.575
117.056,315.852,432.908
117.259,316.4069999,433.6659999
116.297,316.8879999,433.1849999
118.093,316.87,434.963
116.6110001,317.4999999,434.111
116.0740001,327.241,443.3150001
118.13,379.537,497.667
132.777,323.63,456.407
119.6850001,319.1850001,438.8700002
117.6110001,317.889,435.5000001
117.9259999,317.074,434.9999999
117.982,318.519,436.501
118.6109999,317.111,435.7219999
117.111,318.222,435.333
117.5,317.148,434.648
115.426,336.7039999,452.1299999
156.278,319.648,475.9259999
119.296,316.463,435.759
117.722,315.759,433.4810001
117.0559999,315.203,432.2589999
116.389,316.222,432.6110001
116.111,315.389,431.5
117.6669999,316.5000001,434.167
117.4069999,317.481,434.888
117.037,324.8519999,441.8889999
119.76,317.056,436.8159999
117.0930001,316.593,433.6860001
139.482,316.9629999,456.4449999
116.463,314.9630001,431.4260001
117.907,313.9439999,431.8509999
115.8140001,316.333,432.1470001
115.426,315.667,431.093
116.5370001,314.907,431.444
134.8329999,324.0550001,458.888
