Public Key gen UE(us),Shared Key gen UE(us),Total
212.4809999,445.8889999,658.3699999
161.9259999,319.87,481.7959999
148.6479999,467.963,616.6109999
170.222,309.2220001,479.444
147.5,307.741,455.2410001
146.8519999,307.0370001,453.889
145.1860001,307.7590001,452.9450001
145.463,350.444,495.907
135.852,272,407.852
128.333,271.055,399.388
128.186,272.871,401.057
144.574,272.204,416.778
129.944,271.481,401.4250001
127.592,270.926,398.518
127.1479999,271.1659999,398.3139999
127.981,270.9629999,398.9439999
127.6300001,271.0369999,398.667
127.593,270.87,398.463
127.2960001,271.074,398.3700001
127.0739999,270.87,397.9439999
127.74,292.8710001,420.6110001
130,271.055,401.055
127.5549999,271.13,398.6849999
127.315,270.852,398.167
127.0929999,271.0370001,398.13
128.13,271.259,399.389
127.0930001,273.259,400.352
128.2779999,270.926,399.2039999
127.1120001,271.149,398.2610001
127.278,271.0369999,398.315
127.482,332.333,459.815
133.2960001,271.408,404.7040001
128.259,271.537,399.796
127.24,270.9080001,398.148
127.0179999,270.926,397.9439999
127.7780001,270.222,398.0000001
181.611,256.6850001,438.2960001
123.092,256.4070001,379.499
120.241,256.111,376.352
119.852,255.833,375.685
130.723,256.13,386.853
120.444,255.593,376.037
120.166,255.797,375.963
119.833,255.704,375.537
119.796,255.963,375.759
124.3519999,257.334,381.686
126.852,258.37,385.222
119.555,255.666,375.221
119.5369999,256.055,375.592
120.037,255.7040001,375.7410001
119.7969999,267.278,387.0749999
120.9999999,257.0180001,378.018
121.204,256.0930001,377.2970001
120.907,255.685,376.592
120.092,256.6479999,376.7399999
120.2960001,255.963,376.2590001
120.112,255.759,375.871
120.166,255.685,375.8509999
119.87,255.852,375.7220001
119.8699999,255.667,375.537
119.6300001,294.426,414.0560001
123.1480001,256.167,379.315
120.352,256.13,376.482
120.6109999,255.8150001,376.426
120.111,255.981,376.092
119.796,255.852,375.648
119.982,255.741,375.723
120.315,255.722,376.037
120.2589999,255.871,376.1299999
120.333,255.518,375.8510001
119.8330001,255.908,375.7410001
129.8889999,255.852,385.7409999
121.056,255.926,376.982
120.481,255.796,376.277
120.0740001,255.87,375.9440001
120.333,255.703,376.036
120.0739999,267.7409999,387.8149998
121.8149999,255.722,377.537
120.537,255.796,376.3330001
119.9439999,255.8149999,375.7589999
119.7959999,255.852,375.6479999
120.352,265.389,385.7409999
122.112,255.8149999,377.9269999
120.2589999,255.6669999,375.9259998
119.7600001,255.833,375.5930001
119.9999999,255.537,375.537
119.7409999,255.648,375.3889999
119.759,255.667,375.426
119.889,255.9449999,375.8339999
120.0739999,255.704,375.7779999
119.7399999,255.666,375.406
119.9630001,288.945,408.9080001
124.815,256.426,381.241
120.722,255.852,376.574
