CPU Cycles;CPU instructions,
50,189,343,990;105,201,165,244
49,929,285,306;105,252,399,315
50,076,317,718;105,244,194,291
50,092,614,589;105,192,892,625
49,911,087,035;105,203,107,208
49,956,825,403;105,337,168,387
49,994,995,805;105,268,075,397
49,979,419,012;105,215,656,140
49,860,433,929;105,224,417,502
50,200,215,265;105,218,479,528
50,001,804,127;105,251,843,910
50,107,432,318;105,176,076,645
49,870,430,740;105,187,934,612
49,935,857,100;105,208,398,449
49,907,803,459;105,190,862,871
49,907,264,090;105,235,890,264
50,123,873,756;105,318,824,466
49,922,490,797;105,200,912,374
50,153,205,094;105,173,570,775
50,052,839,358;105,196,030,672
50,056,356,136;105,231,464,761
50,153,444,459;105,225,711,162
49,932,285,342;105,234,969,095
50,099,007,677;105,221,866,326
50,116,315,385;105,255,034,238
49,941,808,373;105,216,675,116
49,949,339,631;105,225,762,361
49,900,503,996;105,261,644,131
49,936,992,013;105,181,469,132
49,869,003,678;105,247,782,944
50,079,748,498;105,243,791,491
49,961,419,958;105,202,542,078
50,062,202,292;105,190,520,799
49,920,608,103;105,144,609,284
50,123,609,530;105,277,308,083
49,896,352,878;105,222,007,712
49,899,118,506;105,240,205,656
49,975,122,513;105,183,322,693
49,989,974,090;105,270,300,885
50,056,747,863;105,168,444,614
49,953,784,930;105,243,408,323
50,152,583,357;105,312,166,832
50,133,091,167;105,219,583,862
50,079,007,938;105,199,867,272
49,967,628,316;105,239,373,073
50,122,481,357;105,173,273,123
50,030,059,944;105,250,844,329
50,009,383,767;105,169,403,934
49,918,305,240;105,200,855,141
50,117,275,447;105,281,193,275
49,882,250,406;105,237,393,069
49,910,525,361;105,203,321,885
49,874,630,412;105,198,299,116
49,903,407,465;105,239,562,297
50,026,443,556;105,265,399,010
50,098,490,492;105,287,691,045
50,171,694,530;105,184,793,085
49,912,158,708;105,163,713,461
50,099,717,063;105,201,875,647
50,027,724,800;105,216,086,734
49,932,673,762;105,253,816,581
49,991,925,635;105,275,198,342
50,007,221,262;105,282,104,761
49,996,547,270;105,260,937,503
49,863,887,722;105,207,626,091
49,972,758,423;105,202,611,996
50,001,133,529;105,200,451,607
49,858,742,914;105,195,445,907
50,004,853,159;105,195,913,329
49,922,180,200;105,150,421,707
50,013,541,772;105,232,516,022
50,253,955,701;105,207,383,227
49,996,021,825;105,214,416,077
50,111,323,740;105,245,211,677
49,976,886,215;105,260,450,643
49,894,250,619;105,315,645,552
50,138,812,811;105,225,365,361
50,016,957,775;105,270,788,623
50,080,965,751;105,124,020,901
49,952,517,256;105,189,433,187
50,226,771,545;105,253,712,783
50,115,416,001;105,199,794,763
49,950,578,286;105,240,629,133
49,939,141,051;105,181,237,311
49,973,974,623;105,188,003,282
49,936,590,590;105,220,929,831
49,967,042,412;105,257,957,848
49,957,188,805;105,223,822,038
50,021,044,053;105,182,827,147
50,007,328,139;105,144,909,735
50,119,408,407;105,247,304,877
50,087,539,446;105,153,631,309
49,872,881,218;105,254,908,030
50,088,034,204;105,218,617,113
50,063,801,598;105,251,556,799
50,158,755,945;105,214,353,331
49,948,030,430;105,219,457,747
50,170,332,880;105,242,194,340
50,017,812,286;105,302,634,147
50,000,367,412;105,281,573,137
